seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	901031	901048	18	*	X00015	84069	901877	910484	8608	+	828	upstream	828	PLEKHN1
chr1	901154	901408	255	*	X00016	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	1009773	1009907	135	*	X00046	401934	1007126	1009687	2562	-	85	upstream	85	RNF223
chr1	1009911	1010120	210	*	X00047	401934	1007126	1009687	2562	-	223	upstream	223	RNF223
chr1	1100535	1100684	150	*	X00053	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1209863	1209967	105	*	X00057	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242617	68	*	X00061	126789	1243994	1247057	3064	+	1376	upstream	1376	PUSL1
chr1	1244950	1245054	105	*	X00062	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1335783	1335874	92	*	X00075	81669	1321091	1334718	13628	-	1064	upstream	1064	CCNL2
chr1	1361635	1361639	5	*	X00077	643965	1361508	1363167	1660	+	0	inside	126	TMEM88B
chr1	1369462	1369596	135	*	X00083	64856	1370903	1378262	7360	+	1306	upstream	1306	VWA1
chr1	2140486	2140710	225	*	X00099	199990	2115899	2139172	23274	-	1313	upstream	1313	FAAP20
chr1	2344954	2345028	75	*	X00115	5192	2336241	2344010	7770	-	943	upstream	943	PEX10
chr1	2462483	2462542	60	*	X00128	388585	2460184	2461684	1501	-	798	upstream	798	HES5
chr1	2462663	2462797	135	*	X00129	388585	2460184	2461684	1501	-	978	upstream	978	HES5
chr1	2487329	2487482	154	*	X00139	8764	2487805	2495267	7463	+	322	upstream	322	TNFRSF14
chr1	6053574	6053798	225	*	X00158	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054263	105	*	X00159	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6483818	6483982	165	*	X00185	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00186	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	9351702	9351716	15	*	X00278	80176	9352941	9429590	76650	+	1224	upstream	1224	SPSB1
chr1	10857291	10857410	120	*	X00334	54897	10696666	10856733	160068	-	557	upstream	557	CASZ1
chr1	11713578	11713682	105	*	X00339	93611	11714432	11723384	8953	+	749	upstream	749	FBXO44
chr1	11864961	11865080	120	*	X00344	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	15478061	15478135	75	*	X00375	55092	15479028	15546974	67947	+	892	upstream	892	TMEM51
chr1	15478601	15478705	105	*	X00376	55092	15479028	15546974	67947	+	322	upstream	322	TMEM51
chr1	15478601	15478705	105	*	X00376	200197	15438311	15478960	40650	-	0	inside	254	TMEM51-AS1
chr1	15943360	15943392	33	*	X00404	84301	15943953	15987552	43600	+	560	upstream	560	DDI2
chr1	16009903	16010402	500	*	X00406	23207	16010827	16061264	50438	+	424	upstream	424	PLEKHM2
chr1	16082486	16082665	180	*	X00410	54751	16083154	16113084	29931	+	488	upstream	488	FBLIM1
chr1	16400338	16400402	65	*	X00438	348487	16384264	16400127	15864	-	210	upstream	210	FAM131C
chr1	16679678	16679782	105	*	X00467	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	17092110	17092229	120	*	X00471	11223	17081129	17090975	9847	-	1134	upstream	1134	MST1L
chr1	17446538	17446616	79	*	X00476	11240	17393256	17445948	52693	-	589	upstream	589	PADI2
chr1	17767158	17767277	120	*	X00492	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18806650	18806739	90	*	X00514	127707	18807424	18812480	5057	+	684	upstream	684	KLHDC7A
chr1	18807150	18807344	195	*	X00515	127707	18807424	18812480	5057	+	79	upstream	79	KLHDC7A
chr1	19637168	19637287	120	*	X00556	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19991903	19992102	200	*	X00564	3362	19991780	20006055	14276	+	0	inside	122	HTR6
chr1	20878336	20878485	150	*	X00586	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20913625	20913714	90	*	X00589	978	20915444	20945400	29957	+	1729	upstream	1729	CDA
chr1	20913940	20914029	90	*	X00590	978	20915444	20945400	29957	+	1414	upstream	1414	CDA
chr1	20914077	20914181	105	*	X00591	978	20915444	20945400	29957	+	1262	upstream	1262	CDA
chr1	20915187	20915351	165	*	X00592	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	21060438	21060527	90	*	X00598	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21672752	21672807	56	*	X00625	1889	21543740	21672034	128295	-	717	upstream	717	ECE1
chr1	23036564	23036773	210	*	X00675	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23671711	23671815	105	*	X00702	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00703	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23886764	23886868	105	*	X00713	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24105831	24105950	120	*	X00726	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24438717	24438791	75	*	X00739	127294	24382531	24438665	56135	-	51	upstream	51	MYOM3
chr1	24644653	24644772	120	*	X00760	57822	24645812	24690970	45159	+	1039	upstream	1039	GRHL3
chr1	24644936	24645115	180	*	X00761	57822	24645812	24690970	45159	+	696	upstream	696	GRHL3
chr1	24645553	24645775	223	*	X00762	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	25293327	25293461	135	*	X00780	864	25226002	25291612	65611	-	1714	upstream	1714	RUNX3
chr1	25666603	25666692	90	*	X00782	57035	25568740	25664656	95917	-	1946	upstream	1946	RSRP1
chr1	26144984	26145088	105	*	X00794	56181	26146397	26159433	13037	+	1308	upstream	1308	MTFR1L
chr1	26187810	26187873	64	*	X00796	79000	26160497	26185848	25352	-	1961	upstream	1961	AUNIP
chr1	26197969	26198058	90	*	X00799	164091	26187975	26197744	9770	-	224	upstream	224	PAQR7
chr1	26373099	26373198	100	*	X00807	7780	26364514	26372604	8091	-	494	upstream	494	SLC30A2
chr1	26735674	26735743	70	*	X00823	79727	26737269	26756219	18951	+	1525	upstream	1525	LIN28A
chr1	26736654	26736764	111	*	X00824	79727	26737269	26756219	18951	+	504	upstream	504	LIN28A
chr1	26798217	26798305	89	*	X00826	3151	26798902	26803133	4232	+	596	upstream	596	HMGN2
chr1	27240599	27240688	90	*	X00838	8431	27237975	27240567	2593	-	31	upstream	31	NR0B2
chr1	27319007	27319156	150	*	X00847	388610	27320195	27327377	7183	+	1038	upstream	1038	TRNP1
chr1	27718485	27718694	210	*	X00865	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	28585343	28585462	120	*	X00919	83667	28585963	28609002	23040	+	500	upstream	500	SESN2
chr1	29211759	29211878	120	*	X00924	2035	29213603	29446558	232956	+	1724	upstream	1724	EPB41
chr1	32040883	32040987	105	*	X00954	64129	32042086	32053287	11202	+	1098	upstream	1098	TINAGL1
chr1	32169954	32170088	135	*	X00967	1307	32117848	32169768	51921	-	185	upstream	185	COL16A1
chr1	32171034	32171197	164	*	X00968	1307	32117848	32169768	51921	-	1265	upstream	1265	COL16A1
chr1	32225097	32225103	7	*	X00969	100423028	32224261	32224336	76	-	760	upstream	760	MIR4254
chr1	32404415	32404534	120	*	X00981	8073	32372022	32403988	31967	-	426	upstream	426	PTP4A2
chr1	32405282	32405371	90	*	X00982	8073	32372022	32403988	31967	-	1293	upstream	1293	PTP4A2
chr1	32478845	32478988	144	*	X00986	10657	32479295	32526460	47166	+	306	upstream	306	KHDRBS1
chr1	32665889	32665916	28	*	X00990	79140	32666202	32670991	4790	+	285	upstream	285	CCDC28B
chr1	32686589	32686693	105	*	X00992	8668	32687185	32697205	10021	+	491	upstream	491	EIF3I
chr1	33351536	33351648	113	*	X01020	3208	33352098	33360247	8150	+	449	upstream	449	HPCA
chr1	33351709	33351768	60	*	X01021	3208	33352098	33360247	8150	+	329	upstream	329	HPCA
chr1	33351904	33352023	120	*	X01022	3208	33352098	33360247	8150	+	74	upstream	74	HPCA
chr1	33352129	33352248	120	*	X01023	3208	33352098	33360247	8150	+	0	inside	30	HPCA
chr1	33896879	33896936	58	*	X01039	1912	33789224	33896615	107392	-	263	upstream	263	PHC2
chr1	35246671	35246880	210	*	X01049	2707	35246790	35251967	5178	+	0	overlapStart	0	GJB3
chr1	36024142	36024188	47	*	X01054	79932	35899091	36023551	124461	-	590	upstream	590	KIAA0319L
chr1	36024316	36024435	120	*	X01055	79932	35899091	36023551	124461	-	764	upstream	764	KIAA0319L
chr1	36024496	36024689	194	*	X01056	79932	35899091	36023551	124461	-	944	upstream	944	KIAA0319L
chr1	36395242	36395361	120	*	X01060	192669	36396319	36522063	125745	+	957	upstream	957	AGO3
chr1	36565649	36565727	79	*	X01062	1296	36560844	36565850	5007	-	0	inside	122	COL8A2
chr1	36620717	36620857	141	*	X01066	55700	36621803	36646441	24639	+	945	upstream	945	MAP7D1
chr1	36621038	36621154	117	*	X01067	55700	36621803	36646441	24639	+	648	upstream	648	MAP7D1
chr1	36789854	36789973	120	*	X01081	55194	36787632	36789755	2124	-	98	upstream	98	EVA1B
chr1	36931529	36931648	120	*	X01088	64960	36921362	36930040	8679	-	1488	upstream	1488	MRPS15
chr1	36931709	36931783	75	*	X01089	64960	36921362	36930040	8679	-	1668	upstream	1668	MRPS15
chr1	38158998	38158998	1	*	X01094	54955	38147242	38157888	10647	-	1109	upstream	1109	C1orf109
chr1	38275607	38275786	180	*	X01095	79693	38268614	38273865	5252	-	1741	upstream	1741	YRDC
chr1	38471889	38471993	105	*	X01105	2275	38462442	38471187	8746	-	701	upstream	701	FHL3
chr1	39456329	39456340	12	*	X01112	79647	39456916	39471737	14822	+	575	upstream	575	AKIRIN1
chr1	40157486	40157561	76	*	X01128	51440	40144645	40157089	12445	-	396	upstream	396	HPCAL4
chr1	40157682	40157921	240	*	X01129	51440	40144645	40157089	12445	-	592	upstream	592	HPCAL4
chr1	40158278	40158359	82	*	X01130	51440	40144645	40157089	12445	-	1188	upstream	1188	HPCAL4
chr1	40255632	40255766	135	*	X01132	656	40223903	40254533	30631	-	1098	upstream	1098	BMP8B
chr1	41329671	41329760	90	*	X01142	163732	41326728	41328018	1291	-	1652	upstream	1652	CITED4
chr1	41480540	41480659	120	*	X01154	100507178	41480262	41509562	29301	+	0	inside	277	SLFNL1-AS1
chr1	42631282	42631401	120	*	X01191	2980	42628362	42630395	2034	-	886	upstream	886	GUCA2A
chr1	42927910	42927979	70	*	X01198	728621	42929025	43120335	191311	+	1045	upstream	1045	CCDC30
chr1	43123134	43123253	120	*	X01199	10465	43124048	43142429	18382	+	794	upstream	794	PPIH
chr1	43231350	43231409	60	*	X01201	79078	43232916	43241413	8498	+	1506	upstream	1506	C1orf50
chr1	43853967	43853969	3	*	X01219	23334	43855556	43919918	64363	+	1586	upstream	1586	SZT2
chr1	43995295	43995474	180	*	X01226	5792	43996547	44089343	92797	+	1072	upstream	1072	PTPRF
chr1	43995790	43995879	90	*	X01227	5792	43996547	44089343	92797	+	667	upstream	667	PTPRF
chr1	44114717	44114823	107	*	X01234	9682	44115797	44171189	55393	+	973	upstream	973	KDM4A
chr1	44399029	44399163	135	*	X01240	9048	44398992	44402912	3921	+	0	inside	36	ARTN
